epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,619.528,1.87423,2.67056,2.10646,0.38521,0.37638,0.33868,0.15501,1.93105,2.21133,2.10449,0.0670144,0.000333188,0.000333188
2,1205.98,1.79578,2.47104,2.03876,0.53623,0.41054,0.447,0.21039,1.83396,1.93398,1.9888,0.0340012,0.000653324,0.000653324
3,1770.42,1.74417,2.36633,1.98871,0.45111,0.47075,0.43876,0.21643,1.79558,2.09111,1.94496,0.000974823,0.00096026,0.00096026
4,2285.31,1.70507,2.2809,1.94538,0.58838,0.49794,0.52245,0.24821,1.81973,1.70209,1.93443,0.0009406,0.0009406,0.0009406
5,2839.23,1.67787,2.18235,1.9132,0.65525,0.53269,0.58985,0.29412,1.70697,1.62707,1.82902,0.0009208,0.0009208,0.0009208
6,3392.06,1.63027,2.08551,1.87441,0.65815,0.50546,0.57235,0.29443,1.64839,1.50324,1.77313,0.000901,0.000901,0.000901
7,3954.98,1.61485,2.05988,1.86026,0.68865,0.56765,0.61222,0.32319,1.66101,1.51637,1.76914,0.0008812,0.0008812,0.0008812
8,4506.34,1.58741,2.01392,1.83912,0.68176,0.54591,0.62414,0.33704,1.59661,1.45795,1.70569,0.0008614,0.0008614,0.0008614
9,5056.18,1.56654,1.94772,1.81896,0.66977,0.61445,0.62876,0.34272,1.60915,1.42273,1.73111,0.0008416,0.0008416,0.0008416
10,5603.91,1.55238,1.91727,1.80967,0.73224,0.57449,0.64531,0.3519,1.62634,1.40203,1.76097,0.0008218,0.0008218,0.0008218
11,6099.26,1.55563,1.89268,1.80782,0.71935,0.56975,0.63749,0.35861,1.6058,1.36998,1.72679,0.000802,0.000802,0.000802
12,6643.72,1.54528,1.87601,1.79895,0.68189,0.58509,0.63927,0.35479,1.58772,1.34828,1.70396,0.0007822,0.0007822,0.0007822
13,7195.08,1.53468,1.84907,1.78074,0.73331,0.60554,0.66664,0.37902,1.5351,1.2852,1.6699,0.0007624,0.0007624,0.0007624
14,7747.52,1.51034,1.8099,1.76038,0.78164,0.59286,0.68124,0.38494,1.56847,1.28402,1.67472,0.0007426,0.0007426,0.0007426
15,8301.52,1.50569,1.80945,1.76324,0.76352,0.62128,0.68375,0.39262,1.52376,1.24269,1.64672,0.0007228,0.0007228,0.0007228
16,8854.6,1.48977,1.78065,1.7535,0.76166,0.61437,0.68208,0.38808,1.54093,1.25769,1.6643,0.000703,0.000703,0.000703
17,9415.07,1.4854,1.7419,1.74274,0.79062,0.62819,0.6932,0.3944,1.50126,1.221,1.60631,0.0006832,0.0006832,0.0006832
18,9973.75,1.47772,1.73637,1.73299,0.79685,0.61619,0.71152,0.402,1.50196,1.1752,1.60827,0.0006634,0.0006634,0.0006634
19,10534.7,1.46609,1.69427,1.72856,0.76033,0.62596,0.70719,0.40225,1.49107,1.17639,1.60096,0.0006436,0.0006436,0.0006436
20,11090.4,1.46141,1.69533,1.72435,0.78151,0.62561,0.70786,0.4098,1.49305,1.18454,1.58587,0.0006238,0.0006238,0.0006238
